factor,null_pct,xs_dispersion,n_inf,min,max,flags
CAND__val_ebitda_ev_ttm,100.0,0.0,0,,,ALL_NAN;HIGH_NULL
CAND__lev_net_debt_to_ebitda_ttm,100.0,0.0,0,,,ALL_NAN;HIGH_NULL
CAND__lev_interest_coverage_ttm,100.0,0.0,0,,,ALL_NAN;HIGH_NULL
rev_up_down_ratio_20d,0.0,0.0,0,1.0,1.0,DEGENERATE_XS
earn_surprise_eps,0.23,0.593,72,-423.7143,292.2044,HAS_INF
CAND__grow_revenue_yoy_accel_q,3.22,0.996,303,-69979.0625,69962.7109,HAS_INF
CAND__grow_total_revenue_yoy_accel_q,3.22,0.996,303,-69979.0625,69962.7109,HAS_INF
qual_accruals,0.08,1.0,1319,-7106.333,6426.6313,HAS_INF
CAND__grow_revenue_yoy_q,1.35,1.0,233,-7.547,69980.8203,HAS_INF
CAND__grow_total_revenue_yoy_q,1.35,1.0,233,-7.547,69980.8203,HAS_INF
CAND__acc_inventory_sales_mismatch_yoy,6.09,1.0,345,-4270.4741,8240.7061,HAS_INF
CAND__acc_receivables_sales_mismatch_yoy,5.18,1.0,173,-7710.4067,4123.7627,HAS_INF
CAND__acc_rd_intensity_ttm,99.96,0.103,0,0.033,0.1351,HIGH_NULL
qual_roe_change,0.44,0.469,0,-19083.6094,335.5152,ok
grow_rev_acceleration,0.15,0.473,0,-6996144.0,6997031.0,ok
grow_profit_acceleration,0.09,0.473,0,-110860.5547,80846.2969,ok
grow_gross_margin_chg,2.03,0.473,0,-251.9337,107.5714,ok
lev_deleverage,0.06,0.473,0,-221.9306,69.8411,ok
qual_margin_trend,2.03,0.572,0,-100.7735,43.0286,ok
grow_rev_trend,0.15,0.572,0,-2798457.5,2798812.25,ok
grow_profit_trend,0.09,0.572,0,-44344.2227,32338.5195,ok
grow_roe_improvement,0.44,0.588,0,-19083.6094,335.5152,ok
alpha_chip_winner_rate_chg_20d,18.14,0.914,0,-99.8,99.88,ok
margin_sl_balance_change,0.4,0.996,0,-154174144.0,154200352.0,ok
alpha_chip_cost_spread_pct,9.66,0.996,0,0.0185,3.6818,ok
alpha_chip_price_vs_cost50,9.66,0.996,0,-0.8061,16.6356,ok
alpha_chip_weight_avg_dev,9.66,0.996,0,-0.8073,16.7396,ok
alpha_chip_winner_rate_ema_10d,6.93,0.996,0,0.109,100.03,ok
CAND__grow_operate_profit_yoy_accel_q,3.18,0.996,0,-1557.3876,1561.2909,ok
CAND__grow_n_income_attr_p_yoy_accel_q,3.14,0.996,0,-3322.9456,3322.7546,ok
CAND__alpha_chip_winner_rate_level,9.66,0.996,0,0.0,100.3,ok
CAND__alpha_chip_cost_compression_20d,6.93,0.996,0,-1.9703,-0.02,ok
CAND__alpha_chip_breakout_pressure,9.66,0.996,0,-0.8301,16.2522,ok
mom_return_5d,5.39,1.0,0,-0.413,0.617,ok
mom_return_10d,5.84,1.0,0,-0.652,1.6047,ok
mom_return_20d,6.52,1.0,0,-0.827,3.062,ok
mom_return_60d,8.7,1.0,0,-0.8682,5.4412,ok
mom_return_120d,11.93,1.0,0,-0.8996,9.2902,ok
mom_return_250d,17.05,1.0,0,-0.9041,17.3436,ok
mom_skip1m_252d,17.56,1.0,0,-0.9094,11.6492,ok
mom_weighted_120d,0.6,1.0,0,-0.0017,0.0017,ok
mom_overnight_20d,3.52,1.0,0,-0.1045,0.1007,ok
mom_acceleration_20d,8.27,1.0,0,-3.5437,3.2558,ok
mom_intraday_20d,3.45,1.0,0,-0.352,0.2226,ok
mom_high_moment_20d,3.45,1.0,0,0.0,0.2228,ok
mom_low_moment_20d,3.45,1.0,0,-0.352,0.0,ok
mom_ewm_20d,1.11,1.0,0,-0.1012,0.1009,ok
mom_ewm_60d,0.53,1.0,0,-0.1007,0.1002,ok
rev_return_1d,4.91,1.0,0,-0.1059,0.1111,ok
rev_return_3d,5.16,1.0,0,-0.3366,0.2778,ok
rev_return_5d,5.39,1.0,0,-0.617,0.413,ok
rev_return_10d,5.84,1.0,0,-1.6047,0.652,ok
rev_max_return_20d,3.52,1.0,0,-0.1045,0.1059,ok
rev_min_return_20d,3.52,1.0,0,-0.1111,0.1009,ok
val_ep_ttm,12.77,1.0,0,0.0,0.8705,ok
val_ep,10.42,1.0,0,0.0001,0.6563,ok
val_bp,5.08,1.0,0,0.0,3.2134,ok
val_sp_ttm,4.81,1.0,0,0.0001,40.4858,ok
val_sp,4.76,1.0,0,0.0005,39.3701,ok
val_div_yield,29.44,1.0,0,0.0001,0.2829,ok
val_div_ratio,12.63,1.0,0,0.0,0.2084,ok
val_cftp,4.76,1.0,0,-9.3801,1.9257,ok
val_bps_to_price,4.76,1.0,0,-1.3285,3.2138,ok
val_relative_pe,12.77,1.0,0,0.0,102.8629,ok
val_pb_change_60d,9.01,1.0,0,-0.9884,13764.9385,ok
qual_roe,0.44,1.0,0,-19098.3203,871.5032,ok
qual_roa,1.95,1.0,0,-187.1318,58.2472,ok
qual_roic,2.03,1.0,0,-11012.4951,1456.2307,ok
qual_gross_margin,2.03,1.0,0,-779.5332,103.8975,ok
qual_net_margin,0.1,1.0,0,-32752.5801,3871.4717,ok
qual_asset_turnover,0.08,1.0,0,-0.0007,9.2248,ok
qual_roe_stability,0.33,1.0,0,-9677.1562,0.0,ok
qual_margin_stability,1.97,1.0,0,-127.0299,0.0,ok
qual_leverage,0.06,1.0,0,0.9258,292.2047,ok
qual_current_ratio,1.75,1.0,0,0.0114,66.4957,ok
qual_quick_ratio,1.75,1.0,0,0.0093,66.4489,ok
grow_revenue_yoy,0.15,1.0,0,-100.1974,6998082.5,ok
grow_netprofit_yoy,0.08,1.0,0,-110869.2344,32836.043,ok
grow_opprofit_yoy,0.08,1.0,0,-70962.7969,578429.6875,ok
grow_opprofit_qoq,0.06,1.0,0,-121116.8672,428445.9688,ok
grow_eps_yoy,0.28,1.0,0,-92890.5859,44900.0,ok
grow_roe_yoy,4.96,1.0,0,-328395.8438,73949.3047,ok
grow_consistency,0.09,1.0,0,-251531.6875,0.0,ok
grow_peg,12.8,1.0,0,-16138.8115,29969.7344,ok
size_ln_mcap,4.76,1.0,0,19.3276,28.647,ok
size_ln_circmv,4.76,1.0,0,19.3276,28.3679,ok
size_ln_mcap_sq,4.76,1.0,0,373.5558,820.6523,ok
size_ln_free_float,4.78,1.0,0,4.836,15.0814,ok
risk_vol_5d,4.67,1.0,0,0.0,0.1416,ok
risk_vol_10d,4.2,1.0,0,0.0,0.1416,ok
risk_vol_20d,3.64,1.0,0,0.0,0.1414,ok
risk_vol_60d,1.94,1.0,0,0.0,0.1414,ok
risk_vol_120d,0.64,1.0,0,0.0,0.1269,ok
risk_downvol_20d,0.0,1.0,0,0.0,0.0512,ok
risk_downvol_60d,0.0,1.0,0,0.0,0.0464,ok
risk_mdd_proxy_60d,4.76,1.0,0,-0.872,0.0,ok
risk_vol_of_vol,1.41,1.0,0,0.0,0.0815,ok
risk_var_95_20d,3.52,1.0,0,-0.1091,0.1009,ok
risk_skew_60d,2.03,1.0,0,-6.2137,5.555,ok
risk_range_ratio_20d,3.39,1.0,0,0.0,0.5432,ok
risk_tail_60d,1.86,1.0,0,-0.1039,0.1009,ok
liq_turnover_5d,4.32,1.0,0,0.0001,69.8821,ok
liq_turnover_10d,3.94,1.0,0,0.0001,55.841,ok
liq_turnover_20d,3.45,1.0,0,0.0001,51.1342,ok
liq_turnover_60d,1.8,1.0,0,0.0001,44.4404,ok
liq_turnover_f_5d,4.32,1.0,0,0.0002,114.9357,ok
liq_turnover_f_20d,3.45,1.0,0,0.0002,65.0956,ok
liq_turnover_ratio_5_60,4.32,1.0,0,0.0009,27.8044,ok
liq_amihud_20d,3.52,1.0,0,0.0,0.0473,ok
liq_vol_cv_20d,3.51,1.0,0,0.0006,4.3444,ok
liq_log_dollar_vol,3.39,1.0,0,7.9725,26.3651,ok
liq_vol_surge,4.27,1.0,0,0.0009,27.8047,ok
liq_vol_ratio_ma5,4.32,1.0,0,0.0,135.445,ok
liq_turnover_skew_20d,3.68,1.0,0,-1.994,4.4717,ok
liq_spread_proxy_20d,3.39,1.0,0,0.0,0.4272,ok
tech_rsi_6,4.35,1.0,0,0.0,100.0,ok
tech_rsi_14,3.8,1.0,0,0.0,100.0,ok
tech_rsi_28,3.17,1.0,0,0.0,100.0,ok
tech_close_to_high_20d,4.76,1.0,0,-0.8354,0.0,ok
tech_close_to_low_20d,4.76,1.0,0,0.0,3.0496,ok
tech_price_to_ma20,4.76,1.0,0,-0.6474,1.0131,ok
tech_price_to_ma60,4.76,1.0,0,-0.7847,1.5574,ok
tech_ma5_ma20_ratio,4.32,1.0,0,0.4029,1.6905,ok
tech_ma20_ma60_ratio,3.45,1.0,0,0.292,1.7508,ok
tech_macd_signal,4.76,1.0,0,-0.1485,0.397,ok
tech_bb_pct,4.79,1.0,0,0.0,1.0,ok
tech_williams_r_14,4.79,1.0,0,-100.0,0.0,ok
tech_kurt_20d,3.87,1.0,0,-5.9999,19.9858,ok
tech_skew_20d,3.75,1.0,0,-4.3696,4.4699,ok
lev_debt_to_assets,0.06,1.0,0,0.9258,292.2047,ok
lev_current_ratio,1.75,1.0,0,0.0114,66.4957,ok
lev_quick_ratio,1.75,1.0,0,0.0093,66.4489,ok
lev_debt_capacity,0.06,1.0,0,-1.922,0.9907,ok
flow_net_inflow_5d,4.4,1.0,0,-257756.3594,136453.875,ok
flow_net_inflow_20d,3.52,1.0,0,-110966.5547,136453.875,ok
flow_large_net_pct_20d,3.52,1.0,0,-0.092,0.0745,ok
flow_small_net_pct_20d,3.52,1.0,0,-0.0636,0.1,ok
flow_large_small_ratio,3.52,1.0,0,-53069.6641,117740.5703,ok
flow_inflow_surge,4.4,1.0,0,-221196.5781,2612735.25,ok
flow_large_buy_ratio_5d,4.4,1.0,0,0.0,0.0866,ok
north_hold_pct,1.52,1.0,0,0.0,32.82,ok
north_hold_change_5d,3.05,1.0,0,-8.57,5.48,ok
north_hold_change_20d,3.06,1.0,0,-8.55,9.58,ok
north_accumulation_20d,0.0,1.0,0,-8.55,9.58,ok
north_flow_momentum,0.0,1.0,0,-0.5736,0.5447,ok
margin_balance_pct,4.76,1.0,0,0.0,2998.1465,ok
margin_net_buy_20d,0.0,1.0,0,-251834480.0,290106464.0,ok
earn_surprise_revenue,0.15,1.0,0,-100.1974,6998082.5,ok
earn_earnings_momentum,0.06,1.0,0,0.0,1.0,ok
alpha_inst_net_buy_20d,87.55,1.0,0,-330098400.0,188095840.0,ok
alpha_insider_net_buy_60d,77.41,1.0,0,-20.8333,31.7883,ok
alpha_block_discount_20d,88.54,1.0,0,-0.2232,0.1824,ok
alpha_holder_gross_vol_60d,77.41,1.0,0,100.0,1430294656.0,ok
alpha_holder_event_density_60d,77.41,1.0,0,1.0,163.0,ok
alpha_holder_net_ratio_ema_20d,62.78,1.0,0,-16.5839,20.0819,ok
alpha_toplist_net_rate_20d,87.54,1.0,0,-86.68,88.17,ok
alpha_toplist_amount_over_mv_20d,87.54,1.0,0,0.0188,2191.5674,ok
alpha_toplist_hit_density_60d,0.09,1.0,0,0.0,46.0,ok
alpha_topinst_net_buy_ema_20d,53.97,1.0,0,-330098400.0,188095840.0,ok
alpha_topinst_hit_density_60d,0.31,1.0,0,0.0,46.0,ok
alpha_block_volume_share_20d,88.54,1.0,0,0.0,0.9551,ok
alpha_block_event_density_20d,1.26,1.0,0,0.0,20.0,ok
CAND__val_ebit_ev_ttm,8.94,1.0,0,-0.5189,0.3913,ok
CAND__val_fcf_ev_ttm,7.11,1.0,0,-1.0876,0.5089,ok
CAND__val_retearn_yield,4.76,1.0,0,-4.21,1.4584,ok
CAND__val_ncav_to_price,6.68,1.0,0,-12.9931,1.6249,ok
CAND__qual_gross_profitability_ttm,2.38,1.0,0,-0.2921,1.1911,ok
CAND__qual_margin_op_of_gr,0.1,1.0,0,-18696.7812,1317.975,ok
CAND__qual_margin_ebit_of_gr,1.99,1.0,0,-7343.9019,2323.1812,ok
CAND__qual_margin_profit_to_gr,0.1,1.0,0,-19339.0352,1317.5149,ok
CAND__acc_total_accruals_ttm,0.65,1.0,0,-1.7124,2.9685,ok
CAND__acc_cash_roa_ttm,0.65,1.0,0,-2.863,0.9236,ok
CAND__acc_cfo_to_ni_ttm,0.62,1.0,0,-1298.7449,1169.8586,ok
CAND__acc_asset_growth,0.17,1.0,0,-0.9417,493.7466,ok
CAND__acc_noa_scaled,50.51,1.0,0,-27.7665,257.0402,ok
CAND__acc_dWC_inventory,4.93,1.0,0,-0.769,12.2351,ok
CAND__acc_dWC_receivables,4.02,1.0,0,-0.4034,196.8669,ok
CAND__acc_capex_intensity_ttm,1.79,1.0,0,-0.1113,1.2433,ok
CAND__acc_goodwill_ratio,43.43,1.0,0,0.0,0.8308,ok
CAND__acc_net_share_issuance,7.23,1.0,0,-30.4046,0.7256,ok
CAND__grow_operate_profit_yoy_q,1.32,1.0,0,-1560.6161,673.7363,ok
CAND__grow_n_income_attr_p_yoy_q,1.31,1.0,0,-893.8314,3321.8462,ok
CAND__mom_52w_high_proximity,4.76,1.0,0,0.088,1.0,ok
CAND__mom_volscaled_20d,6.52,1.0,0,-2176.1401,85.0787,ok
CAND__mom_volscaled_60d,8.7,1.0,0,-2091.7173,600.4308,ok
CAND__mom_volscaled_120d,11.94,1.0,0,-1767.9447,166.917,ok
CAND__risk_parkinson_logrange_20d,3.45,1.0,0,0.0,0.1882,ok
CAND__risk_parkinson_logrange_60d,1.8,1.0,0,0.0,0.1882,ok
CAND__risk_parkinson_logrange_120d,0.57,1.0,0,0.0,0.1882,ok
CAND__risk_gap_vol_20d,3.64,1.0,0,0.0,0.1414,ok
CAND__liq_zero_ret_days_5d,0.0,1.0,0,0.0,1.0,ok
CAND__liq_zero_ret_days_10d,0.0,1.0,0,0.0,0.8,ok
CAND__liq_zero_ret_days_20d,0.0,1.0,0,0.0,0.65,ok
CAND__flow_elg_net_pct_5d,4.4,1.0,0,-1.0004,1.0,ok
CAND__flow_elg_net_pct_10d,4.01,1.0,0,-1.0004,1.0,ok
CAND__flow_elg_net_pct_20d,3.52,1.0,0,-1.0004,1.0,ok
CAND__flow_inst_retail_divergence_20d,3.52,1.0,0,-2.0008,1.6266,ok
CAND__margin_net_buy_ratio_20d,4.76,1.0,0,-0.0078,0.0031,ok
CAND__mom_skip5d_120d,11.99,1.0,0,-0.8927,9.5906,ok
CAND__risk_garman_klass_20d,3.45,1.0,0,0.0,0.0214,ok
CAND__rev_turnover_spike_5d,5.39,1.0,0,-4.3559,3.3335,ok
CAND__mom_continuous_info_252d_dir,17.15,1.0,0,-0.3095,0.2262,ok
CAND__liq_roll_spread_low_20d,0.0,1.0,0,-0.2493,0.0,ok
CAND__liq_zero_ret_ex_susp_20d,0.0,1.0,0,0.0,0.65,ok
CAND__rev_high_turnover_1d,4.91,1.0,0,-12.3217,14.878,ok
CAND__rev_gap_reversal_1d,4.91,1.0,0,-0.1027,0.1045,ok
CAND__tech_high_breakout_age_250d,0.22,1.0,0,-250.0,-1.0,ok
CAND__qual_piotroski_fscore_9pt,0.14,1.0,0,0.0,9.0,ok
CAND__qual_cash_collection_ttm,2.64,1.0,0,-3.8093,693.7776,ok
CAND__earn_forecast_mid_yoy,11.64,1.0,0,-92641.0,25035.3457,ok
CAND__earn_forecast_revision_qoq,22.98,1.0,0,-92650.3828,83905.5,ok
CAND__earn_forecast_width_confidence,11.64,1.0,0,-17796.0,0.0,ok
CAND__alpha_holder_num_yoy_concentration,4.1,1.0,0,-30.8713,0.9354,ok
CAND__alpha_holder_num_qoq_concentration,0.46,1.0,0,-8.9826,0.8852,ok
