name,category,qlib_expression,fields_used,price_basis,registry_status,formal_eligible,expected_sign,expected_decay_days,neutralization,rationale,source
risk_parkinson_logrange_60d,Volatility,"Mean(Power(Log(Ref(($high * $adj_factor), 1) / Ref(($low * $adj_factor), 1)), 2), 60)",$adj_factor;$high;$low,adjusted,approved,yes,-,60,size,True Parkinson log high-low range variance (60d); fixes the range-ratio mislabel (GPT review §4) + per-window decay (§D).,claude_v2
risk_parkinson_logrange_120d,Volatility,"Mean(Power(Log(Ref(($high * $adj_factor), 1) / Ref(($low * $adj_factor), 1)), 2), 120)",$adj_factor;$high;$low,adjusted,approved,yes,-,120,size,True Parkinson log high-low range variance (120d); fixes the range-ratio mislabel (GPT review §4) + per-window decay (§D).,claude_v2
risk_gap_vol_20d,Volatility,"Std(Ref(($open * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1, 20)",$adj_factor;$close;$open,adjusted,approved,yes,-,20,size,Overnight/T+1 gap risk; distinct from intraday vol (GPT review §1).,claude_v2
liq_zero_ret_days_5d,Liquidity,"Count(Abs((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)) < 0.0001, 5) / 5",$adj_factor;$close,adjusted,approved,yes,-,20,size,Zero-return days (Lesmond illiquidity).,claude_v2
liq_zero_ret_days_10d,Liquidity,"Count(Abs((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)) < 0.0001, 10) / 10",$adj_factor;$close,adjusted,approved,yes,-,20,size,Zero-return days (Lesmond illiquidity).,claude_v2
liq_zero_ret_days_20d,Liquidity,"Count(Abs((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)) < 0.0001, 20) / 20",$adj_factor;$close,adjusted,approved,yes,-,20,size,Zero-return days (Lesmond illiquidity).,claude_v2
flow_elg_net_pct_5d,CapitalFlow,"Mean(Ref((($buy_elg_amount - $sell_elg_amount) / ($amount / 10)), 1), 5)",$amount;$buy_elg_amount;$sell_elg_amount,raw,quarantine,no,+,10,size,Extra-large order net inflow share (institutional flow); unit-corrected ($amount/10 to match 万元 moneyflow basis).,claude_v2
flow_elg_net_pct_10d,CapitalFlow,"Mean(Ref((($buy_elg_amount - $sell_elg_amount) / ($amount / 10)), 1), 10)",$amount;$buy_elg_amount;$sell_elg_amount,raw,quarantine,no,+,10,size,Extra-large order net inflow share (institutional flow); unit-corrected ($amount/10 to match 万元 moneyflow basis).,claude_v2
flow_elg_net_pct_20d,CapitalFlow,"Mean(Ref((($buy_elg_amount - $sell_elg_amount) / ($amount / 10)), 1), 20)",$amount;$buy_elg_amount;$sell_elg_amount,raw,quarantine,no,+,10,size,Extra-large order net inflow share (institutional flow); unit-corrected ($amount/10 to match 万元 moneyflow basis).,claude_v2
flow_inst_retail_divergence_20d,CapitalFlow,"Mean(Ref(((($buy_lg_amount + $buy_elg_amount - $sell_lg_amount - $sell_elg_amount) - ($buy_sm_amount - $sell_sm_amount)) / ($amount / 10)), 1), 20)",$amount;$buy_elg_amount;$buy_lg_amount;$buy_sm_amount;$sell_elg_amount;$sell_lg_amount;$sell_sm_amount,raw,quarantine,no,+,10,size,Institutional (large+elg) minus retail (small) net order-flow divergence; unit-corrected ($amount/10). GPT Round-3 add.,claude_v2
margin_net_buy_ratio_20d,Margin,"Mean(Ref(($rzmre - $rzche), 1), 20) / (Ref($circ_mv, 1) * 10000)",$circ_mv;$rzche;$rzmre,raw,quarantine,no,+,20,size,Net financing-buy intensity scaled by float cap; unit-corrected (circ_mv * 10000 to match the 元 margin basis).,claude_v2
alpha_chip_winner_rate_level,AlphaEndpoint,"Ref($cyq_perf__winner_rate, 1)",$cyq_perf__winner_rate,raw,pending_review,no,?,20,size,Chip-distribution winner rate level (profit-taking pressure).,claude_v2
mom_skip5d_120d,Momentum,"Ref(($close * $adj_factor), 6) / Ref(($close * $adj_factor), 121) - 1",$adj_factor;$close,adjusted,approved,yes,+,60,industry,Skip-last-week 120d momentum; drops the most recent 5 days to reduce short-term-reversal / T+1-crowding contamination.,claude_v2
risk_garman_klass_20d,Volatility,"Mean(0.5 * Power(Log(Ref(($high * $adj_factor), 1) / Ref(($low * $adj_factor), 1)), 2) - 0.38629436112 * Power(Log(Ref(($close * $adj_factor), 1) / Ref(($open * $adj_factor), 1)), 2), 20)",$adj_factor;$close;$high;$low;$open,adjusted,approved,yes,-,20,industry,Garman-Klass OHLC volatility estimator; uses open-close info on top of the high-low range (GPT Round-3 add).,claude_v2
rev_turnover_spike_5d,Reversal,"0 - ((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 6) - 1) * (Mean(Ref($turnover_rate_f, 1), 5) / Mean(Ref($turnover_rate_f, 1), 60)))",$adj_factor;$close;$turnover_rate_f,adjusted,approved,yes,+,5,industry,5d reversal conditioned on a free-float turnover spike; targets retail/crowding overreaction (GPT Round-3 add).,claude_v2
mom_continuous_info_252d_dir,Momentum,"Sign(Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 253) - 1) * Abs((Count((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) > 0, 252) - Count((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) < 0, 252)) / 252)",$adj_factor;$close,adjusted,approved,yes,+,60,industry,Directional information-discreteness (frog-in-the-pan); smooth trends rank by direction. GPT Round-3 sign fix.,claude_v2
liq_roll_spread_low_20d,Liquidity,"0 - (2 * Power(If(Cov((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), Ref((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), 1), 20) < 0, 0 - Cov((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), Ref((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), 1), 20), 0), 0.5))",$adj_factor;$close,adjusted,approved,yes,+,20,"industry,size",Roll effective-spread proxy; higher factor value means lower inferred spread / better tradability.,gpt_review
liq_zero_ret_ex_susp_20d,Liquidity,"Sum(If(Abs((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)) < 0.0001, If(Ref($vol, 1) > 0, 1, 0), 0), 20) / 20",$adj_factor;$close;$vol,adjusted+raw_volume,approved,yes,-,20,"industry,size","Lesmond-style zero-return illiquidity excluding zero-volume suspension days, reducing contamination from non-trading states.",gpt_review
rev_high_turnover_1d,Reversal,"0 - ((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) * Ref($turnover_rate_f, 1))",$adj_factor;$close;$turnover_rate_f,adjusted+raw_turnover,approved,yes,+,5,"industry,size,liquidity",T+1/retail microstructure: high-turnover selloffs tend to mean-revert faster than quiet selloffs; interaction beats plain rev_return_1d.,gpt_review
rev_gap_reversal_1d,Reversal,"0 - (Ref(($open * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)",$adj_factor;$close;$open,adjusted,approved,yes,+,2,"industry,size,liquidity",Overnight gap reversal / T+1 inventory pressure; complements the catalog's averaged overnight-return factor.,gpt_review
tech_high_breakout_age_250d,Technical,"0 - IdxMax(Ref(($high * $adj_factor), 1), 250)",$adj_factor;$high,adjusted,approved,yes,+,30,"industry,size,liquidity",52-week-high recency: recent high-watermark breakouts are distinct from simple close/high proximity.,gpt_review
qual_piotroski_fscore_9pt,Quality,"If(Ref($n_income_attr_p_sq_q0, 1) > 0, 1, 0) + If(Ref($n_cashflow_act_sq_q0, 1) > 0, 1, 0) + If(Ref($n_cashflow_act_sq_q0, 1) > Ref($n_income_attr_p_sq_q0, 1), 1, 0) + If(Ref($n_income_attr_p_sq_q0, 1) / Ref($total_assets_q0, 1) > Ref($n_income_attr_p_sq_q4, 1) / Ref($total_assets_q4, 1), 1, 0) + If(Ref($total_liab_q0, 1) / Ref($total_assets_q0, 1) < Ref($total_liab_q4, 1) / Ref($total_assets_q4, 1), 1, 0) + If(Ref($total_cur_assets_q0, 1) / Ref($total_cur_liab_q0, 1) > Ref($total_cur_assets_q4, 1) / Ref($total_cur_liab_q4, 1), 1, 0) + If(Ref($total_share, 1) <= Ref($total_share, 251), 1, 0) + If((Ref($total_revenue_sq_q0, 1) - Ref($oper_cost_sq_q0, 1)) / Ref($total_revenue_sq_q0, 1) > (Ref($total_revenue_sq_q4, 1) - Ref($oper_cost_sq_q4, 1)) / Ref($total_revenue_sq_q4, 1), 1, 0) + If(Ref($total_revenue_sq_q0, 1) / Ref($total_assets_q0, 1) > Ref($total_revenue_sq_q4, 1) / Ref($total_assets_q4, 1), 1, 0)",$n_cashflow_act_sq_q0;$n_income_attr_p_sq_q0;$n_income_attr_p_sq_q4;$oper_cost_sq_q0;$oper_cost_sq_q4;$total_assets_q0;$total_assets_q4;$total_cur_assets_q0;$total_cur_assets_q4;$total_cur_liab_q0;$total_cur_liab_q4;$total_liab_q0;$total_liab_q4;$total_revenue_sq_q0;$total_revenue_sq_q4;$total_share,raw,unknown_field,no,+,250,"industry,size,value","Piotroski-style profitability, leverage/liquidity/funding, and operating-efficiency score using statement line-items (Piotroski 2000).",gpt_review
qual_cash_collection_ttm,Quality,"(Ref($c_fr_sale_sg_sq_q0, 1) + Ref($c_fr_sale_sg_sq_q1, 1) + Ref($c_fr_sale_sg_sq_q2, 1) + Ref($c_fr_sale_sg_sq_q3, 1)) / (Ref($total_revenue_sq_q0, 1) + Ref($total_revenue_sq_q1, 1) + Ref($total_revenue_sq_q2, 1) + Ref($total_revenue_sq_q3, 1))",$c_fr_sale_sg_sq_q0;$c_fr_sale_sg_sq_q1;$c_fr_sale_sg_sq_q2;$c_fr_sale_sg_sq_q3;$total_revenue_sq_q0;$total_revenue_sq_q1;$total_revenue_sq_q2;$total_revenue_sq_q3,raw,unknown_field,no,+,120,"industry,size",Cash-quality of sales: revenue backed by cash collections should be higher quality than receivable-led growth.,gpt_review
acc_inventory_sales_mismatch_yoy,Accruals,"(Ref($inventories_q0, 1) / Ref($inventories_q4, 1) - 1) - (Ref($total_revenue_sq_q0, 1) / Ref($total_revenue_sq_q4, 1) - 1)",$inventories_q0;$inventories_q4;$total_revenue_sq_q0;$total_revenue_sq_q4,raw,unknown_field,no,-,120,"industry,size",Inventory buildup faster than sales is a channel-stuffing / demand-quality warning.,gpt_review
acc_receivables_sales_mismatch_yoy,Accruals,"(Ref($accounts_receiv_q0, 1) / Ref($accounts_receiv_q4, 1) - 1) - (Ref($total_revenue_sq_q0, 1) / Ref($total_revenue_sq_q4, 1) - 1)",$accounts_receiv_q0;$accounts_receiv_q4;$total_revenue_sq_q0;$total_revenue_sq_q4,raw,unknown_field,no,-,120,"industry,size",Receivables growing faster than sales indicates aggressive revenue recognition / cash conversion deterioration.,gpt_review
earn_forecast_mid_yoy,Earnings,"(Ref($p_change_min_q0, 1) + Ref($p_change_max_q0, 1)) / 2",$p_change_max_q0;$p_change_min_q0,raw,unknown_field,no,+,30,"industry,size,value",A-share forecast/preannouncement midpoint: management-guided earnings growth proxy before full financial statements land.,gpt_review
earn_forecast_revision_qoq,Earnings,"((Ref($p_change_min_q0, 1) + Ref($p_change_max_q0, 1)) / 2) - ((Ref($p_change_min_q1, 1) + Ref($p_change_max_q1, 1)) / 2)",$p_change_max_q0;$p_change_max_q1;$p_change_min_q0;$p_change_min_q1,raw,unknown_field,no,+,20,"industry,size,value",Forecast revision: upward movement in management guidance should be more timely than stale YoY indicator snapshots.,gpt_review
earn_forecast_width_confidence,Earnings,"0 - (Ref($p_change_max_q0, 1) - Ref($p_change_min_q0, 1))",$p_change_max_q0;$p_change_min_q0,raw,unknown_field,no,+,20,"industry,size,value","Narrower forecast interval is higher management-confidence / lower uncertainty, conditional on midpoint.",gpt_review
alpha_holder_num_yoy_concentration,Ownership,"0 - (Ref($holder_num_q0, 1) / Ref($holder_num_q4, 1) - 1)",$holder_num_q0;$holder_num_q4,raw,unknown_field,no,+,120,"industry,size,liquidity",A-share shareholder-base concentration: falling holder count often proxies institutional accumulation / less retail crowding.,gpt_review
alpha_holder_num_qoq_concentration,Ownership,"0 - (Ref($holder_num_q0, 1) / Ref($holder_num_q1, 1) - 1)",$holder_num_q0;$holder_num_q1,raw,unknown_field,no,+,60,"industry,size,liquidity",Shorter-horizon holder-count contraction; screen with YoY version to separate persistent accumulation from reporting noise.,gpt_review
limit_up_hit_5d,LimitBoard,"Count(Ref($close, 1) >= Ref($up_limit, 1) * 0.999, 5) / 5",$close;$up_limit,raw,quarantine,no,+,5,"industry,size,liquidity",Exact limit-board continuation candidate; use actual up_limit to avoid hard-coding 10%/20%/ST bands.,gpt_review
limit_down_hit_20d,LimitBoard,"Count(Ref($close, 1) <= Ref($down_limit, 1) * 1.001, 20) / 20",$close;$down_limit,raw,quarantine,no,-,10,"industry,size,liquidity",Limit-down overhang / trading-interference risk after sell-pressure days.,gpt_review
limit_up_distance_1d,LimitBoard,"0 - ((Ref($up_limit, 1) - Ref($close, 1)) / Ref($close, 1))",$close;$up_limit,raw,quarantine,no,+,3,"industry,size,liquidity",Limit-up magnet/proximity proxy; should be screened separately from actual hit counts.,gpt_review
alpha_chip_cost_compression_20d,AlphaEndpoint,"0 - EMA((Ref($cyq_perf__cost_85pct, 1) - Ref($cyq_perf__cost_15pct, 1)) / Ref($cyq_perf__cost_50pct, 1), 20)",$cyq_perf__cost_15pct;$cyq_perf__cost_50pct;$cyq_perf__cost_85pct,raw,pending_review,no,+,20,"industry,size,liquidity",Chip-cost compression: concentrated cost basis can precede breakout; use as regime/interaction rather than standalone level.,gpt_review
alpha_chip_breakout_pressure,AlphaEndpoint,"(Ref($close, 1) - Ref($cyq_perf__cost_85pct, 1)) / Ref($cyq_perf__cost_85pct, 1)",$close;$cyq_perf__cost_85pct,raw,pending_review,no,+,10,"industry,size,liquidity",Price above the 85th-percentile chip cost marks broad holder profitability / breakout pressure beyond cost50 or weight_avg levels.,gpt_review
